Layer	IFM	OFM	IH	IW	OH	OW	KH	KW	S	Multiplier	post-conv	MACs	%MACs	pad_h	pad_w
conv1_1	3	64	300	300	300	300	3	3	1			154829568	0.52%	1	1
conv1_2	64	64	300	300	300	300	3	3	1			3303030784	11.02%	1	1
conv2_1	64	128	150	150	150	150	3	3	1			1644167168	5.49%	1	1
conv2_2	128	128	150	150	150	150	3	3	1			3288334336	10.97%	1	1
conv3_1	128	256	75	75	75	75	3	3	1			1629519872	5.44%	1	1
conv3_2	256	256	75	75	75	75	3	3	1			3259039744	10.88%	1	1
conv3_3	256	256	75	75	75	75	3	3	1			3259039744	10.88%	1	1
conv4_1	256	512	38	38	38	38	3	3	1			1644167168	5.49%	1	1
conv4_2	512	512	38	38	38	38	3	3	1			3288334336	10.97%	1	1
conv4_3	512	512	38	38	38	38	3	3	1			3288334336	10.97%	1	1
conv5_1	512	512	19	19	19	19	3	3	1			792985600	2.65%	1	1
conv5_2	512	512	19	19	19	19	3	3	1			792985600	2.65%	1	1
conv5_3	512	512	19	19	19	19	3	3	1			792985600	2.65%	1	1
fc6	512	1024	19	19	19	19	3	3	1			1061683200	3.54%	6	6
fc7	1024	1024	19	19	19	19	1	1	1			378535936	1.26%	1	1
conv6_1	1024	256	19	19	19	19	1	1	1			94633984	0.32%	0	0
conv6_2	256	512	19	19	10	10	3	3	2			102760448	0.34%	1	1
conv7_1	512	128	10	10	10	10	1	1	1			6553600	0.02%	0	0
conv7_2	128	256	10	10	5	5	3	3	2			6422528	0.02%	1	1
conv8_1	256	128	5	5	5	5	1	1	1			819200	0.00%	0	0
conv8_2	128	256	5	5	3	3	3	3	1			2654208	0.01%	0	0
conv9_1	256	128	3	3	3	3	1	1	1			294912	0.00%	0	0
conv9_2	128	256	3	3	1	1	3	3	1			294912	0.00%	0	0
conv4_3_norm_mbox_loc	512	16	38	38	38	38	3	3	1			102760448	0.34%	1	1
conv4_3_norm_mbox_conf	512	84	38	38	38	38	3	3	1			539492352	1.80%	1	1
fc7_mbox_loc	1024	24	19	19	19	19	3	3	1			74342400	0.25%	1	1
fc7_mbox_conf	1024	126	19	19	19	19	3	3	1			390297600	1.30%	1	1
conv6_2_mbox_loc	512	24	10	10	10	10	3	3	1			9633792	0.03%	1	1
conv6_2_mbox_conf	512	126	10	10	10	10	3	3	1			50577408	0.17%	1	1
conv7_2_mbox_loc	256	24	5	5	5	5	3	3	1			1038336	0.00%	1	1
conv7_2_mbox_conf	256	126	5	5	5	5	3	3	1			5451264	0.02%	1	1
conv8_2_mbox_loc	256	16	3	3	3	3	3	3	1			200704	0.00%	1	1
conv8_2_mbox_conf	256	84	3	3	3	3	3	3	1			1053696	0.00%	1	1
conv9_2_mbox_loc	256	16	1	1	1	1	3	3	1			4096	0.00%	1	1
conv9_2_mbox_conf	256	84	1	1	1	1	3	3	1			21504	0.00%	1	1
